timestamp,alert_type,detail,snapshot
2026-06-22 01:28:04,suspicious,Person #0,E:\surveillance_system\snapshots\suspicious_20260622_012804.jpg
2026-06-22 01:28:05,zone_breach,jjj - entry,
2026-06-22 01:28:10,zone_breach,jjj - entry,
2026-06-22 01:28:14,weapon,knife,E:\surveillance_system\snapshots\weapon_20260622_012814.jpg
2026-06-22 01:28:15,zone_breach,jjj - entry,
2026-06-22 01:28:21,zone_breach,jjj - entry,
2026-06-22 01:28:22,weapon,knife,E:\surveillance_system\snapshots\weapon_20260622_012822.jpg
2026-06-22 01:28:32,zone_breach,jjj - entry,
2026-06-22 01:28:37,zone_breach,jjj - entry,
2026-06-22 01:28:41,zone_breach,jjj - entry,
2026-06-22 01:28:41,weapon,knife,E:\surveillance_system\snapshots\weapon_20260622_012841.jpg
2026-06-22 01:28:46,zone_breach,jjj - entry,
2026-06-22 01:28:47,suspicious,Person #2,E:\surveillance_system\snapshots\suspicious_20260622_012847.jpg
2026-06-22 01:28:55,zone_breach,jjj - entry,
2026-06-22 01:29:10,zone_breach,jjj - entry,
2026-06-22 01:29:15,zone_breach,jjj - entry,
2026-06-22 01:29:17,suspicious,Person #0,E:\surveillance_system\snapshots\suspicious_20260622_012917.jpg
2026-06-22 14:32:32,crowd,4 persons,E:\surveillance_system\snapshots\crowd_20260622_143232.jpg
2026-06-22 14:34:09,suspicious,Person #5,E:\surveillance_system\snapshots\suspicious_20260622_143409.jpg
2026-06-22 14:34:13,weapon,knife,E:\surveillance_system\snapshots\weapon_20260622_143413.jpg
2026-06-22 14:34:17,crowd,4 persons,E:\surveillance_system\snapshots\crowd_20260622_143417.jpg
2026-06-22 14:34:28,weapon,scissors,E:\surveillance_system\snapshots\weapon_20260622_143428.jpg
2026-06-22 14:34:35,weapon,scissors,E:\surveillance_system\snapshots\weapon_20260622_143435.jpg
2026-06-22 14:34:48,zone_breach,aaa - entry,
2026-06-22 14:34:52,weapon,knife,E:\surveillance_system\snapshots\weapon_20260622_143452.jpg
2026-06-22 14:34:53,zone_breach,aaa - entry,
2026-06-22 14:35:04,weapon,scissors,E:\surveillance_system\snapshots\weapon_20260622_143504.jpg
2026-06-22 14:35:07,zone_breach,aaa - entry,
2026-06-22 14:35:21,suspicious,Person #6,E:\surveillance_system\snapshots\suspicious_20260622_143521.jpg
2026-06-22 14:35:29,weapon,scissors,E:\surveillance_system\snapshots\weapon_20260622_143529.jpg
2026-06-22 14:35:29,zone_breach,aaa - entry,
2026-06-22 14:35:39,zone_breach,aaa - entry,
2026-06-22 14:35:45,weapon,scissors,E:\surveillance_system\snapshots\weapon_20260622_143545.jpg
2026-06-22 14:35:49,zone_breach,aaa - entry,
